Time,Channel A
(ms),(mV)

0.00000000,-17.02448000
0.00004800,-4.24458600
0.00009600,-46.82886000
0.00014400,-8.50455100
0.00019200,-42.56889000
0.00024000,-42.56889000
0.00028800,-25.52903000
0.00033600,-25.52903000
0.00038400,-34.04897000
0.00043200,-29.78900000
0.00048000,-38.30893000
0.00052800,-34.04897000
0.00057600,-34.04897000
0.00062400,-29.78900000
0.00067200,-29.78900000
0.00072000,-29.78900000
0.00076800,-34.04897000
0.00081600,-29.78900000
0.00086400,-25.52903000
0.00091200,-29.78900000
0.00096000,-25.52903000
0.00100800,-29.78900000
0.00105600,-29.78900000
0.00110400,-21.28445000
0.00115200,-25.52903000
0.00120000,-25.52903000
0.00124800,-21.28445000
0.00129600,-21.28445000
0.00134400,-21.28445000
0.00139200,-25.52903000
0.00144000,-21.28445000
0.00148800,-21.28445000
0.00153600,-21.28445000
0.00158400,-25.52903000
0.00163200,-21.28445000
0.00168000,-25.52903000
0.00172800,-17.02448000
0.00177600,-21.28445000
0.00182400,-17.02448000
0.00187200,-21.28445000
0.00192000,-21.28445000
0.00196800,-17.02448000
0.00201600,-21.28445000
0.00206400,-17.02448000
0.00211200,-21.28445000
0.00216000,-12.76452000
0.00220800,-17.02448000
0.00225600,-17.02448000
0.00230400,-17.02448000
0.00235200,-12.76452000
0.00240000,-17.02448000
0.00244800,-12.76452000
0.00249600,-17.02448000
0.00254400,-12.76452000
0.00259200,-8.50455100
0.00264000,-12.76452000
0.00268800,-8.50455100
0.00273600,-8.50455100
0.00278400,-12.76452000
0.00283200,-12.76452000
0.00288000,-12.76452000
0.00292800,-12.76452000
0.00297600,-12.76452000
0.00302400,-17.02448000
0.00307200,0.00000000
0.00312000,-12.76452000
0.00316800,-8.50455100
0.00321600,0.00000000
0.00326400,-12.76452000
0.00331200,-4.24458600
0.00336000,-4.24458600
0.00340800,-4.24458600
0.00345600,-8.50455100
0.00350400,4.24458600
0.00355200,-12.76452000
0.00360000,17.02448000
0.00364800,-12.76452000
0.00369600,-12.76452000
