Time,Channel A
(ms),(mV)

0.00000000,38.30893000
0.00004800,38.30893000
0.00009600,38.30893000
0.00014400,34.04897000
0.00019200,38.30893000
0.00024000,34.04897000
0.00028800,38.30893000
0.00033600,34.04897000
0.00038400,34.04897000
0.00043200,38.30893000
0.00048000,34.04897000
0.00052800,29.78900000
0.00057600,34.04897000
0.00062400,34.04897000
0.00067200,34.04897000
0.00072000,34.04897000
0.00076800,34.04897000
0.00081600,34.04897000
0.00086400,29.78900000
0.00091200,34.04897000
0.00096000,29.78900000
0.00100800,29.78900000
0.00105600,34.04897000
0.00110400,29.78900000
0.00115200,29.78900000
0.00120000,29.78900000
0.00124800,29.78900000
0.00129600,29.78900000
0.00134400,29.78900000
0.00139200,25.52903000
0.00144000,29.78900000
0.00148800,29.78900000
0.00153600,25.52903000
0.00158400,29.78900000
0.00163200,25.52903000
0.00168000,25.52903000
0.00172800,25.52903000
0.00177600,25.52903000
0.00182400,25.52903000
0.00187200,29.78900000
0.00192000,21.28445000
0.00196800,25.52903000
0.00201600,21.28445000
0.00206400,25.52903000
0.00211200,21.28445000
0.00216000,21.28445000
0.00220800,25.52903000
0.00225600,21.28445000
0.00230400,25.52903000
0.00235200,21.28445000
0.00240000,21.28445000
0.00244800,21.28445000
0.00249600,21.28445000
0.00254400,21.28445000
0.00259200,17.02448000
0.00264000,21.28445000
0.00268800,17.02448000
0.00273600,21.28445000
0.00278400,17.02448000
0.00283200,21.28445000
0.00288000,21.28445000
0.00292800,21.28445000
0.00297600,17.02448000
0.00302400,12.76452000
0.00307200,21.28445000
0.00312000,12.76452000
0.00316800,12.76452000
0.00321600,17.02448000
0.00326400,12.76452000
0.00331200,17.02448000
0.00336000,4.24458600
0.00340800,21.28445000
0.00345600,12.76452000
0.00350400,12.76452000
0.00355200,12.76452000
0.00360000,8.50455100
0.00364800,12.76452000
0.00369600,8.50455100
0.00374400,8.50455100
0.00379200,12.76452000
0.00384000,0.00000000
0.00388800,8.50455100
0.00393600,4.24458600
0.00398400,8.50455100
